cores, tasks, nodes, edgep, objro, growf,  util, sched, mhigh, mlow,  cavg,  lavg
    5,    10,    50,   0.7,   0.1,   0.5,   5.0,     0,   000,  005,2643.21,2067.02
    5,    10,    50,   0.7,   0.1,   0.5,   5.5,     0,   001,  004,2643.21,2067.02
    5,    10,    50,   0.7,   0.1,   0.5,   6.0,     0,   002,  003,2643.21,2067.02
    5,    10,    50,   0.7,   0.1,   0.6,    .5,     1,   000,  005,2650.00,2073.81
    5,    10,    50,   0.7,   0.1,   0.6,   1.0,     1,   000,  005,2650.00,2073.81
    5,    10,    50,   0.7,   0.1,   0.6,   1.5,     1,   000,  005,2650.00,2073.81
    5,    10,    50,   0.7,   0.1,   0.6,   2.0,     1,   000,  005,2650.00,2073.81
    5,    10,    50,   0.7,   0.1,   0.6,   2.5,     1,   000,  005,2650.00,2073.81
    5,    10,    50,   0.7,   0.1,   0.6,   3.0,     0,   000,  005,2650.00,2073.81
    5,    10,    50,   0.7,   0.1,   0.6,   3.5,     0,   000,  005,2650.00,2073.81
    5,    10,    50,   0.7,   0.1,   0.6,   4.0,     0,   000,  005,2650.00,2073.81
    5,    10,    50,   0.7,   0.1,   0.6,   4.5,     0,   000,  005,2650.00,2073.81
    5,    10,    50,   0.7,   0.1,   0.6,   5.0,     0,   000,  005,2650.00,2073.81
    5,    10,    50,   0.7,   0.1,   0.6,   5.5,     0,   001,  004,2650.00,2073.81
    5,    10,    50,   0.7,   0.1,   0.6,   6.0,     0,   002,  003,2653.11,2069.31
    5,    10,    50,   0.7,   0.1,   0.7,    .5,     1,   000,  005,2656.79,2080.61
    5,    10,    50,   0.7,   0.1,   0.7,   1.0,     1,   000,  005,2656.79,2080.61
    5,    10,    50,   0.7,   0.1,   0.7,   1.5,     1,   000,  005,2656.79,2080.61
    5,    10,    50,   0.7,   0.1,   0.7,   2.0,     1,   000,  005,2656.79,2080.61
    5,    10,    50,   0.7,   0.1,   0.7,   2.5,     1,   000,  005,2656.79,2080.61
    5,    10,    50,   0.7,   0.1,   0.7,   3.0,     0,   000,  005,2656.79,2080.61
    5,    10,    50,   0.7,   0.1,   0.7,   3.5,     0,   000,  005,2656.79,2080.61
    5,    10,    50,   0.7,   0.1,   0.7,   4.0,     0,   000,  005,2656.79,2080.61
    5,    10,    50,   0.7,   0.1,   0.7,   4.5,     0,   000,  005,2656.79,2080.61
    5,    10,    50,   0.7,   0.1,   0.7,   5.0,     0,   000,  005,2656.79,2080.61
    5,    10,    50,   0.7,   0.1,   0.7,   5.5,     0,   001,  004,2656.79,2080.61
    5,    10,    50,   0.7,   0.1,   0.7,   6.0,     0,   002,  003,2659.16,2075.36
    5,    10,    50,   0.7,   0.1,   0.8,    .5,     1,   000,  005,2663.59,2087.40
    5,    10,    50,   0.7,   0.1,   0.8,   1.0,     1,   000,  005,2663.59,2087.40
    5,    10,    50,   0.7,   0.1,   0.8,   1.5,     1,   000,  005,2663.59,2087.40
    5,    10,    50,   0.7,   0.1,   0.8,   2.0,     1,   000,  005,2663.59,2087.40
    5,    10,    50,   0.7,   0.1,   0.8,   2.5,     1,   000,  005,2663.59,2087.40
    5,    10,    50,   0.7,   0.1,   0.8,   3.0,     0,   000,  005,2663.59,2087.40
    5,    10,    50,   0.7,   0.1,   0.8,   3.5,     0,   000,  005,2663.59,2087.40
    5,    10,    50,   0.7,   0.1,   0.8,   4.0,     0,   000,  005,2663.59,2087.40
