cores, tasks, nodes, edgep, objro, growf,  util, sched, mhigh, mlow,  cavg,  lavg
    5,    10,    50,   0.7,   0.1,   0.1,    .5,     1,   000,  005,2616.03,2040.06
    5,    10,    50,   0.7,   0.1,   0.1,   1.0,     1,   000,  005,2616.03,2040.06
    5,    10,    50,   0.7,   0.1,   0.1,   1.5,     1,   000,  005,2616.03,2040.06
    5,    10,    50,   0.7,   0.1,   0.1,   2.0,     1,   000,  005,2616.03,2040.06
    5,    10,    50,   0.7,   0.1,   0.1,   2.5,     1,   000,  005,2616.03,2040.06
    5,    10,    50,   0.7,   0.1,   0.1,   3.0,     0,   000,  005,2616.03,2040.06
    5,    10,    50,   0.7,   0.1,   0.1,   3.5,     0,   000,  005,2616.03,2040.06
    5,    10,    50,   0.7,   0.1,   0.1,   4.0,     0,   000,  005,2616.03,2040.06
    5,    10,    50,   0.7,   0.1,   0.1,   4.5,     0,   000,  005,2616.03,2040.06
    5,    10,    50,   0.7,   0.1,   0.1,   5.0,     0,   000,  005,2616.03,2040.06
    5,    10,    50,   0.7,   0.1,   0.1,   5.5,     0,   001,  004,2616.03,2040.06
    5,    10,    50,   0.7,   0.1,   0.1,   6.0,     0,   002,  003,2616.03,2040.06
    5,    10,    50,   0.7,   0.1,   0.2,    .5,     1,   000,  005,2622.83,2046.77
    5,    10,    50,   0.7,   0.1,   0.2,   1.0,     1,   000,  005,2622.83,2046.77
    5,    10,    50,   0.7,   0.1,   0.2,   1.5,     1,   000,  005,2622.83,2046.77
    5,    10,    50,   0.7,   0.1,   0.2,   2.0,     1,   000,  005,2622.83,2046.77
    5,    10,    50,   0.7,   0.1,   0.2,   2.5,     1,   000,  005,2622.83,2046.77
    5,    10,    50,   0.7,   0.1,   0.2,   3.0,     0,   000,  005,2622.83,2046.77
    5,    10,    50,   0.7,   0.1,   0.2,   3.5,     0,   000,  005,2622.83,2046.77
    5,    10,    50,   0.7,   0.1,   0.2,   4.0,     0,   000,  005,2622.83,2046.77
    5,    10,    50,   0.7,   0.1,   0.2,   4.5,     0,   000,  005,2622.83,2046.77
